model_name,horizon,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
naive,3,0.04414806675365703,4.481193160102889,3850.34375,5742.203831609429,-401.8229166666667,2346.0
naive,4,0.06865095988730803,6.238353360049434,6025.916666666667,9377.444741239482,-963.6458333333334,3476.5
naive,5,0.10538039870186464,9.211491174171774,9008.083333333334,14474.017312642218,1330.9166666666667,3562.5
naive,6,0.08308241238422986,6.951529788894732,7220.322916666667,11655.675226668909,-93.05208333333333,2903.0
naive,7,0.062334433818938655,6.195971742045387,5462.083333333333,8009.527065470221,-812.9583333333334,3590.0
naive,8,0.06790380542974726,6.876536522358701,6018.979166666667,9112.883483014582,-1827.2916666666667,3157.0
nbeats,1,0.04470738192718023,4.7845319910429245,3802.5365397135415,6047.450960285975,1153.4039713541667,1964.009765625
nbeats,2,0.03639846714225262,3.864728574963648,3152.5538940429688,4970.639343770222,352.76145426432294,1628.3564453125
nbeats,3,0.04219159190310329,4.37137421978604,3679.7111206054688,5385.231543268982,305.02618408203125,2257.80859375
nbeats,4,0.04352154108544047,4.778862165542585,3820.1531372070312,5480.106574012137,-614.9369913736979,2499.79296875
nbeats,5,0.06681392773161604,7.253082657996291,5711.360331217448,8219.19927206503,1533.2320760091145,3855.953125
nbeats,6,0.058493590379876,5.7353378821896435,5083.4177652994795,7431.402038348329,239.82246907552084,2757.869140625
nbeats,7,0.05555783831714979,5.5926958342338935,4868.2810465494795,7010.212593850679,288.656982421875,2704.02734375
nbeats,8,0.056842881091631395,5.913586810425708,5038.5411376953125,7399.218340345367,-633.2447102864584,3205.1357421875
ridge,1,0.05470063689726283,5.921162517825091,4652.501702878481,6475.025026446121,721.7190316835546,2804.329061959277
ridge,2,0.047719125752160835,5.8326656612372245,4133.061843576045,5813.62338502191,-732.9394784316693,3044.6098111219653
ridge,3,0.044367078503735974,5.501348789781333,3869.444711493929,5567.579088840407,-979.0681594278885,2239.355515570245
ridge,4,0.06312924130929379,8.877852474461735,5541.241491512262,7518.253977463896,-1806.0890281390937,4387.555548222292
ridge,5,0.08012725724945971,9.458234043544339,6849.404817841128,9654.484345702811,215.22498761593093,4502.810547270092
ridge,6,0.06457179029891018,9.098026018507337,5611.647084936017,7511.063788094283,-1784.7523951289377,4481.789745155009
ridge,7,0.06398817265317672,8.348313450528488,5606.9929566470755,7784.423625478438,-2111.3654075053123,3751.6221166295327
ridge,8,0.0744204385319195,10.60048730999078,6596.612167211318,8959.61507458825,-3021.5516400924935,5209.999349205631
seasonal_naive,1,0.09045148216700369,10.620709775941643,7693.25,11027.11532900453,-1433.6458333333333,4473.5
seasonal_naive,2,0.10818941888767204,12.210617282717664,9370.53125,13520.211641973287,-2992.03125,6078.0
seasonal_naive,3,0.10450500592708933,11.999749295752041,9114.333333333334,12599.040697608687,-3594.0833333333335,5997.0
seasonal_naive,4,0.09319504753450716,11.471088220301434,8180.302083333333,11072.874086308848,-4155.90625,6422.5
seasonal_naive,5,0.08732692422051923,10.826203385838456,7464.84375,10026.200686098233,-1861.34375,5029.0
seasonal_naive,6,0.10173760235159506,12.202990857444044,8841.5625,12594.844485112417,-3285.3125,5797.0
seasonal_naive,7,0.10965789051983085,12.83719537698938,9608.822916666666,13439.157061782185,-4005.21875,6090.0
seasonal_naive,8,0.11020903892392196,12.931809500419803,9768.90625,14060.070137849598,-5019.552083333333,5636.0
